food_resource_type,agency,location,operational_status,who_they_serve,address,latitude,longitude,phone_number,website,days_hours,date_updated,days_count,serves_youth,serves_seniors,serves_general,serves_restricted,has_weekend,city
Food Bank,Paradise of Praise,Food Bank,Open,General Public,"1316 SW Holden St, Seattle, WA 98106",47.5344477,-122.3524692,(206)-234-2713,https://www.seattlefoodcommittee.org/food_bank/paradise-of-praise/,Tuesday,8/4/2025,1,False,False,True,False,False,Seattle
Food Bank,Phinney Ridge Lutheran Church,Phinney Ridge Food Bank,Open,General Public,"7500 Greenwood Ave N, Seattle, WA 98103",47.6835063,-122.3547797,(206)-783-2350,https://prlc.org/phinney-ridge-lutheran-church-food-bank,"Tuesday, Wednesday",8/4/2025,2,False,False,True,False,False,Seattle
Food Bank,Pike Market Senior Center,Pike Market Senior Center,Open,Contact Agency for Any Eligibility Requirements,"1531 Western Ave, Seattle, WA 98101",47.608886,-122.342051,(206)-728-2773,https://www.pmsc-fb.org/,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8/4/2025,7,False,False,False,True,True,Seattle
Meal,Pike Market Senior Center,Pike Market Senior Center,Open,Older Adults 55+ and Eligible Participants,"85 Pike St, Seattle, WA 98101",47.6084268,-122.3405616,(206)-728-2773,https://www.pmsc-fb.org/,"Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",8/4/2025,7,False,True,False,False,True,Seattle
Food Bank,Plant Based Food Share,Central Seattle,Open,Contact Agency for Any Eligibility Requirements,"7148 Martin Luther King Jr Way S, Seattle, WA 98118",47.5374953,-122.2809353,(971)-245-2907,https://www.plantbasedfoodshare.org,"Sunday, Monday",8/12/2025,2,False,False,False,True,True,Seattle
Food Bank,Prison Scholar Fund,Prison Scholar Fund,Open,Contact Agency for Any Eligibility Requirements,"1752 NW Market St, Seattle, WA 98107",47.669121,-122.381152,(206)-734-5425,https://www.prisonscholars.org/food-security/,"Thursday, Friday",8/12/2025,2,False,False,False,True,False,Seattle
Food Bank,Puget Sound Labor Agency,Puget Sound Labor Agency Food Bank,Open,General Public,"5300 4th Ave South, Seattle, WA 98108",47.5546964,-122.3291893,(206)-448-9277,https://www.pugetsoundlaboragency.org/food-bank.html,"Monday, Wednesday",8/12/2025,2,False,False,True,False,False,Seattle
Food Bank & Meal,Rainier Valley Food Bank,Paradise Baptist Church,Open,General Public,"4353 S Henderson St, Seattle, WA 98118",,,(N/A),https://www.rvfb.org/grocery-mobile-markets,"Wednesday, Friday",8/5/2025,2,False,False,True,False,False,Seattle
Food Bank & Meal,Rainier Valley Food Bank,Odessa Brown - Othello,Open,Odessa Brown Childrens Clinic Patient Families,"3939 S Othello St, Suite 101, Seattle, WA 98118",,,(N/A),https://www.rvfb.org/grocery-mobile-markets,Wednesday,8/5/2025,1,False,False,False,False,False,Seattle
Food Bank,Rainier Valley Food Bank,Rainier Valley Food Bank,Open,General Public,"4205 Rainier Ave S, Seattle, WA 98118",47.5653236,-122.2889468,(206)-723-4105,https://www.rvfb.org/,"Wednesday, Friday",8/20/2025,2,False,False,True,False,False,Seattle
